CLK_REF_COUNTER, CPU0 COUNTER, CPU0 - Data Cache Refill, CPU0 - Data Cache Access, CPU0 - Data Stall, CPU0 - Write Stall, CPU0 - Instruction Rename, CPU0 - Branch Miss
1426552185531040000,38087650,1151147,1092583176,8399088,0,2185769238,1311804
1426552185581040000,38609590,1166679,1107559773,8512797,0,2215728197,1329777
1426552185631040000,39119501,1182507,1122191600,8628548,0,2244998755,1347353
1426552185681040000,39635950,1197868,1137010971,8740329,0,2274643245,1365137
1426552185731040000,40157221,1213336,1151968340,8853520,0,2304563707,1383086
1426552185781040000,40673504,1229009,1166782290,8967498,0,2334197335,1400865
1426552185831040000,41198432,1245355,1181844868,9086842,0,2364329411,1418954
1426552185881040000,41717705,1260763,1196744925,9199792,0,2394135295,1436835
1426552185931040000,42239942,1276253,1211730569,9312031,0,2424112367,1454819
1426552185981040000,42762180,1292579,1226716001,9430905,0,2454090151,1472817
1426552186031040000,43281688,1307963,1241623044,9543276,0,2483909926,1490706
1426552186081040000,43803806,1323490,1256605012,9655980,0,2513879660,1508686
1426552186131040000,44324583,1339187,1271547908,9770483,0,2543771221,1526618
1426552186181040000,44844050,1354880,1286455109,9884317,0,2573592520,1544522
1426552186231040000,45378938,1370855,1301803104,10000601,0,2604294366,1562939
1426552186281040000,45892941,1386336,1316551805,10113619,0,2633797426,1580639
1426552186334040000,46453209,1403891,1332627535,10241937,0,2665955876,1599941
1426552186384040000,46977907,1419817,1347682355,10358838,0,2696071304,1618007
1426552186434040000,47497452,1435273,1362590451,10471628,0,2725893169,1635897
1426552186484040000,48015646,1451362,1377459964,10588997,0,2755639169,1653757
1426552186534040000,48536316,1467087,1392399633,10703918,0,2785524225,1671686
1426552186584040000,49058574,1482633,1407385430,10817270,0,2815501673,1689670
1426552186634040000,49575317,1498198,1422212714,10930857,0,2845161911,1707463
1426552186684040000,50105397,1514617,1437423112,11050782,0,2875589722,1725731
1426552186734040000,50619540,1530183,1452175384,11164977,0,2905099934,1743435
1426552186784040000,51145980,1546047,1467280679,11281176,0,2935316240,1761561
1426552186834040000,51661255,1562266,1482066257,11398859,0,2964894317,1779320
1426552186884040000,52173708,1577364,1496771181,11508969,0,2994309889,1796968
1426552186934040000,52703741,1593418,1511979511,11625533,0,3024732351,1815217
1426552186984040000,53221050,1608710,1526823668,11736866,0,3054426415,1833031
1426552187034040000,53754631,1625214,1542134812,11856745,0,3085055679,1851420
1426552187084040000,54270687,1640857,1556942164,11971229,0,3114676035,1869189
1426552187134040000,54788860,1656187,1571811081,12082682,0,3144419646,1887033
1426552187184040000,55308230,1672270,1586714844,12199123,0,3174234106,1904933
1426552187234040000,55827692,1687556,1601620554,12311289,0,3204051256,1922821
1426552187284040000,56348618,1702878,1616568703,12422419,0,3233953290,1940760
1426552187337040000,56900796,1719592,1632414324,12542954,0,3265651545,1959787
1426552187387040000,57424276,1735253,1647434682,12658096,0,3295698003,1977811
1426552187437040000,57940799,1750876,1662255501,12772154,0,3325345403,1995598
1426552187487040000,58464552,1766464,1677284147,12885817,0,3355408427,2013632
1426552187537040000,58985343,1782774,1692228079,13004364,0,3385303235,2031581
1426552187587040000,59506162,1798373,1707172201,13118664,0,3415197228,2049515
1426552187637040000,60012051,1813396,1721688868,13227427,0,3444236333,2066938
1426552187687040000,60546354,1829960,1737020532,13347947,0,3474906559,2085349
1426552187737040000,61067453,1845477,1751973091,13461296,0,3504817369,2103293
1426552187787040000,61588164,1861232,1767026935,13575962,0,3534930851,2121358
1426552187837040000,62110312,1876445,1781897487,13686414,0,3564677733,2139204
1426552187887040000,62627101,1892269,1796727784,13800484,0,3594345228,2157017
1426552187937040000,63150202,1907753,1811738055,13913339,0,3624371504,2175029
1426552187987040000,63674504,1923530,1826782258,14027888,0,3654465730,2193083
1426552188037040000,64191838,1939760,1841627078,14145702,0,3684162256,2210913
1426552188087040000,64714178,1955403,1856614864,14260392,0,3714143556,2228899
1426552188137040000,65231063,1971008,1871445994,14374424,0,3743811634,2246698
1426552188187040000,65754709,1986523,1886471789,14487684,0,3773868924,2264729
1426552188237040000,66279406,2003110,1901527254,14608502,0,3803986806,2282811
1426552188287040000,66796455,2018561,1916363459,14721388,0,3833664930,2300615
1426552188341040000,67356441,2035779,1932431991,14846676,0,3865809056,2319909
1426552188391040000,67876712,2051354,1947360649,14960277,0,3895672052,2337824
1426552188441040000,68401507,2066917,1962419504,15073201,0,3925795530,2355895
1426552188491040000,68923310,2082454,1977392150,15186789,0,3955746538,2373862
1426552188541040000,69445970,2099130,1992388442,15309151,0,3985746056,2391874
1426552188591040000,69963086,2114432,2007226922,15421351,0,4015428752,2409681
1426552188641040000,70484930,2129987,2022200431,15535773,0,4045381532,2427650
1426552188691040000,71012377,2146298,2037335481,15654919,0,4075658552,2445827
1426552188741040000,71526814,2161636,2052096902,15767064,0,4105187179,2463543
1426552188791040000,72045915,2177127,2066991891,15880577,0,4134982835,2481417
1426552188841040000,72558369,2192760,2081695644,15994974,0,4164396127,2499063
1426552188891040000,73073735,2208084,2096483933,16106360,0,4193978405,2516811
1426552188941040000,73593211,2224151,2111390631,16222755,0,4223798809,2534715
1426552188991040000,74115373,2239792,2126373293,16337234,0,4253769833,2552694
1426552189041040000,74634895,2255326,2141280478,16450745,0,4283589933,2570584
1426552189091040000,75157160,2271920,2156265942,16571690,0,18600497,2588583
1426552189141040000,75679142,2287440,2171243716,16685405,0,48561781,2606556
1426552189191040000,76201157,2302899,2186222882,16797708,0,78525867,2624531
1426552189241040000,76719366,2318514,2201092207,16911538,0,108270245,2642376
1426552189291040000,77236354,2334349,2215927783,17026550,0,137948346,2660194
1426552189344040000,77787004,2350354,2231728635,17143318,0,169555856,2679153
1426552189394040000,78310561,2366240,2246750976,17259363,0,199606297,2697180
1426552189444040000,78831324,2382303,2261694781,17375859,0,229500782,2715129
1426552189494040000,79352131,2397684,2276639127,17488227,0,259395244,2733063
1426552189544040000,79885522,2413338,2291944853,17602178,0,290012474,2751429
1426552189594040000,80406447,2429333,2306893166,17718610,0,319916097,2769383
1426552189644040000,80931141,2444957,2321948901,17832586,0,350033256,2787449
1426552189694040000,81450886,2460424,2336862572,17945703,0,379866352,2805347
1426552189744040000,81972994,2476564,2351844649,18062936,0,409837442,2823341
1426552189794040000,82497691,2492322,2366899770,18178891,0,439953426,2841408
